1/36. Count of epochs: 10; batch size: 50; learning rate: 0.02000...
-------------------------------------------------------------------------------------------
Epoch 367/1000... Training accuracy.: 0.95667; testing accuracy.: 0.95500
Training loss: 1.50570; testing loss: 1.50360;
-------------------------------------------------------------------------------------------
Epoch 368/1000... Training accuracy.: 0.95668; testing accuracy.: 0.95000
Training loss: 1.50569; testing loss: 1.50986;
-------------------------------------------------------------------------------------------
Epoch 369/1000... Training accuracy.: 0.95668; testing accuracy.: 0.94000
Training loss: 1.50569; testing loss: 1.52381;
-------------------------------------------------------------------------------------------
Epoch 370/1000... Training accuracy.: 0.95670; testing accuracy.: 0.95000
Training loss: 1.50568; testing loss: 1.51228;
-------------------------------------------------------------------------------------------
Epoch 371/1000... Training accuracy.: 0.95668; testing accuracy.: 0.92500
Training loss: 1.50567; testing loss: 1.53675;
-------------------------------------------------------------------------------------------
Epoch 372/1000... Training accuracy.: 0.95668; testing accuracy.: 0.93500
Training loss: 1.50567; testing loss: 1.52169;
-------------------------------------------------------------------------------------------
Epoch 373/1000... Training accuracy.: 0.95672; testing accuracy.: 0.92500
Training loss: 1.50566; testing loss: 1.53371;
-------------------------------------------------------------------------------------------
Epoch 374/1000... Training accuracy.: 0.95672; testing accuracy.: 0.91500
Training loss: 1.50567; testing loss: 1.54243;
-------------------------------------------------------------------------------------------
Epoch 375/1000... Training accuracy.: 0.95670; testing accuracy.: 0.95000
Training loss: 1.50565; testing loss: 1.51128;
-------------------------------------------------------------------------------------------
Epoch 376/1000... Training accuracy.: 0.95670; testing accuracy.: 0.93500
Training loss: 1.50566; testing loss: 1.52267;
-------------------------------------------------------------------------------------------
Epoch 377/1000... Training accuracy.: 0.95670; testing accuracy.: 0.91500
Training loss: 1.50564; testing loss: 1.54488;
-------------------------------------------------------------------------------------------
Epoch 378/1000... Training accuracy.: 0.95670; testing accuracy.: 0.90500
Training loss: 1.50563; testing loss: 1.55245;
-------------------------------------------------------------------------------------------
Epoch 379/1000... Training accuracy.: 0.95668; testing accuracy.: 0.92000
Training loss: 1.50563; testing loss: 1.54219;
-------------------------------------------------------------------------------------------
Epoch 380/1000... Training accuracy.: 0.95672; testing accuracy.: 0.94500
Training loss: 1.50563; testing loss: 1.52019;
-------------------------------------------------------------------------------------------
Epoch 381/1000... Training accuracy.: 0.95673; testing accuracy.: 0.93000
Training loss: 1.50561; testing loss: 1.53622;
-------------------------------------------------------------------------------------------
Epoch 382/1000... Training accuracy.: 0.95673; testing accuracy.: 0.94500
Training loss: 1.50562; testing loss: 1.51431;
-------------------------------------------------------------------------------------------
Epoch 383/1000... Training accuracy.: 0.95673; testing accuracy.: 0.91500
Training loss: 1.50561; testing loss: 1.54050;
-------------------------------------------------------------------------------------------
Epoch 384/1000... Training accuracy.: 0.95673; testing accuracy.: 0.92500
Training loss: 1.50562; testing loss: 1.53702;
-------------------------------------------------------------------------------------------
Epoch 385/1000... Training accuracy.: 0.95672; testing accuracy.: 0.87500
Training loss: 1.50560; testing loss: 1.58223;
-------------------------------------------------------------------------------------------
Epoch 386/1000... Training accuracy.: 0.95672; testing accuracy.: 0.93500
Training loss: 1.50561; testing loss: 1.52848;
-------------------------------------------------------------------------------------------
Epoch 387/1000... Training accuracy.: 0.95673; testing accuracy.: 0.90000
Training loss: 1.50558; testing loss: 1.55833;
-------------------------------------------------------------------------------------------
Epoch 388/1000... Training accuracy.: 0.95672; testing accuracy.: 0.90500
Training loss: 1.50559; testing loss: 1.55705;
-------------------------------------------------------------------------------------------
Epoch 389/1000... Training accuracy.: 0.95672; testing accuracy.: 0.93500
Training loss: 1.50559; testing loss: 1.53017;
-------------------------------------------------------------------------------------------
Epoch 390/1000... Training accuracy.: 0.95675; testing accuracy.: 0.92000
Training loss: 1.50556; testing loss: 1.54386;
-------------------------------------------------------------------------------------------
Epoch 391/1000... Training accuracy.: 0.95673; testing accuracy.: 0.94000
Training loss: 1.50557; testing loss: 1.52232;
-------------------------------------------------------------------------------------------
Epoch 392/1000... Training accuracy.: 0.95675; testing accuracy.: 0.92000
Training loss: 1.50557; testing loss: 1.54304;
-------------------------------------------------------------------------------------------
Epoch 393/1000... Training accuracy.: 0.95680; testing accuracy.: 0.96500
Training loss: 1.50555; testing loss: 1.49751;
-------------------------------------------------------------------------------------------
Epoch 394/1000... Training accuracy.: 0.95680; testing accuracy.: 0.93000
Training loss: 1.50556; testing loss: 1.53542;
-------------------------------------------------------------------------------------------
Epoch 395/1000... Training accuracy.: 0.95675; testing accuracy.: 0.95500
Training loss: 1.50555; testing loss: 1.50956;
-------------------------------------------------------------------------------------------
